Protein,go_term_type,go_term
Q8IV77,Component,Golgi membrane
Q8IV77,Component,Golgi-associated vesicle membrane
Q8IV77,Component,integral component of membrane
Q9P003,Component,endoplasmic reticulum
Q9P003,Component,endoplasmic reticulum-Golgi intermediate compartment
Q9P003,Component,integral component of membrane
Q14028,Component,ciliary membrane
Q14028,Component,Golgi membrane
Q14028,Component,Golgi-associated vesicle membrane
Q14028,Component,intracellular cyclic nucleotide activated cation channel complex
Q14028,Component,photoreceptor outer segment
Q14028,Component,plasma membrane
Q14028,Component,terminal bouton
Q14028,Component,transmembrane transporter complex
P04440,Component,cell surface
P04440,Component,clathrin-coated endocytic vesicle membrane
P04440,Component,endocytic vesicle membrane
P04440,Component,endosome membrane
P04440,Component,ER to Golgi transport vesicle membrane
P04440,Component,Golgi membrane
P04440,Component,integral component of lumenal side of endoplasmic reticulum membrane
P04440,Component,lysosomal membrane
P04440,Component,membrane
P04440,Component,MHC class II protein complex
P04440,Component,plasma membrane
P04440,Component,trans-Golgi network membrane
P04440,Component,transport vesicle membrane
P51911,Component,cytoskeleton
P51911,Component,focal adhesion
Q9NRU3,Component,dendrite
Q9NRU3,Component,integral component of membrane
Q9NRU3,Component,neuronal cell body
Q9NRU3,Component,plasma membrane
Q9BV87,Component,integral component of membrane
O75175,Component,CCR4-NOT complex
O75175,Component,CCR4-NOT core complex
O75175,Component,cytosol
O75175,Component,nucleus
O75175,Component,P-body
O95628,Component,CCR4-NOT complex
O95628,Component,cytosol
O95628,Component,nucleus
P21554,Component,GABA-ergic synapse
P21554,Component,glutamatergic synapse
P21554,Component,growth cone
P21554,Component,integral component of mitochondrial membrane
P21554,Component,integral component of plasma membrane
P21554,Component,integral component of presynaptic membrane
P21554,Component,membrane raft
P21554,Component,mitochondrial outer membrane
P21554,Component,plasma membrane
Q9UHC6,Component,axolemma
Q9UHC6,Component,axon
Q9UHC6,Component,cell surface
Q9UHC6,Component,dendrite
Q9UHC6,Component,early endosome
Q9UHC6,Component,Golgi apparatus
Q9UHC6,Component,integral component of membrane
Q9UHC6,Component,juxtaparanode region of axon
Q9UHC6,Component,membrane
Q9UHC6,Component,neuronal cell body
Q9UHC6,Component,paranodal junction
Q9UHC6,Component,perikaryon
Q9UHC6,Component,voltage-gated potassium channel complex
Q9UFF9,Component,CCR4-NOT complex
Q9UFF9,Component,CCR4-NOT core complex
Q9UFF9,Component,cytosol
Q9UFF9,Component,intracellular
Q9UFF9,Component,nucleus
Q9UFF9,Component,P-body
Q92600,Component,CCR4-NOT complex
Q92600,Component,CCR4-NOT core complex
Q92600,Component,cytosol
Q92600,Component,membrane
Q92600,Component,nucleus
Q92600,Component,P-body
Q92600,Component,protein-containing complex
Q8N137,Component,centriole
Q8N137,Component,centrosome
Q8N137,Component,cytosol
Q7Z7A1,Component,centriolar subdistal appendage
Q7Z7A1,Component,centrosome
Q7Z7A1,Component,cytosol
Q7Z7A1,Component,Flemming body
Q7Z7A1,Component,membrane
A6NNL5,Component,extracellular region
Q9BZG8,Component,cell junction
Q9BZG8,Component,cytosol
Q9BZG8,Component,nucleoplasm
P07358,Component,extracellular exosome
P07358,Component,extracellular region
P07358,Component,extracellular vesicle
P07358,Component,membrane
P07358,Component,membrane attack complex
P01024,Component,azurophil granule lumen
P01024,Component,blood microparticle
P01024,Component,endoplasmic reticulum lumen
P01024,Component,extracellular exosome
P01024,Component,extracellular region
P01024,Component,extracellular space
P01024,Component,plasma membrane
P01024,Component,protein-containing complex
P01024,Component,secretory granule lumen
